"ID" "State_code" "State" "Municipality" "Latitude" "Longitude" "Year" "Pollutant" "Agency" "Emission_estimate_(Gg)" "Lower_bound_(Gg)" "Upper_bound_(Gg)" "Product" "Industry"
101 "CE" "Ceará" "Quixeré" -5.042383 -38 "2015" "SOX" "EPA" 0.0936269028 0.0936269028 0.0936269028 "Portland cement" "Cement"
102 "CE" "Ceará" "Quixeré" -5.042383 -38 "2016" "SOX" "EPA" 0.0889826616 0.0889826616 0.0889826616 "Portland cement" "Cement"
103 "CE" "Ceará" "Quixeré" -5.042383 -38 "2017" "SOX" "EPA" 0.084876948 0.084876948 0.084876948 "Portland cement" "Cement"
104 "CE" "Ceará" "Quixeré" -5.042383 -38 "2018" "SOX" "EPA" 0.0792152244 0.0792152244 0.0792152244 "Portland cement" "Cement"
105 "CE" "Ceará" "Quixeré" -5.042383 -38 "2019" "SOX" "EPA" 0.0791137044 0.0791137044 0.0791137044 "Portland cement" "Cement"
106 "CE" "Ceará" "Quixeré" -5.042383 -38 "2020" "SOX" "EPA" 0.0855328356 0.0855328356 0.0855328356 "Portland cement" "Cement"
107 "CE" "Ceará" "Quixeré" -5.042383 -38 "2021" "SOX" "EPA" 0.100453554 0.100453554 0.100453554 "Portland cement" "Cement"
108 "CE" "Ceará" "Quixeré" -5.042383 -38 "2022" "SOX" "EPA" 0.0534041892 0.0534041892 0.0534041892 "Portland cement" "Cement"
109 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2014" "PST" "EPA" 0.0172004035169444 0.0172004035169444 0.0172004035169444 "Portland cement" "Cement"
110 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2015" "PST" "EPA" 0.0152254211215278 0.0152254211215278 0.0152254211215278 "Portland cement" "Cement"
111 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2016" "PST" "EPA" 0.0183431492955556 0.0183431492955556 0.0183431492955556 "Portland cement" "Cement"
