ID	Source	State	Number_of_factories_per_state	Municipality	year	Factory_Name	lat	long	fabricated_cement	Unit
101	Produção cimento	Ceará	5	Pecém	2019	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	488356,2	t clínquer
102	Produção cimento	Ceará	5	Sobral	2019	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	488356,2	t clínquer
103	Produção cimento	Ceará	5	Pecém	2020	APODI, Pecém  - CE	-3,666527	-39	527980,4667	t clínquer
104	Produção cimento	Ceará	5	Quixeré	2020	APODI ,Quixeré - CE	-5,042383	-38	527980,4667	t clínquer
105	Produção cimento	Ceará	5	Barbalha	2020	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	527980,4667	t clínquer
106	Produção cimento	Ceará	5	Pecém	2020	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	527980,4667	t clínquer
107	Produção cimento	Ceará	5	Sobral	2020	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	527980,4667	t clínquer
108	Produção cimento	Ceará	5	Pecém	2021	APODI, Pecém  - CE	-3,666527	-39	620083,6667	t clínquer
109	Produção cimento	Ceará	5	Quixeré	2021	APODI ,Quixeré - CE	-5,042383	-38	620083,6667	t clínquer
110	Produção cimento	Ceará	5	Barbalha	2021	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	620083,6667	t clínquer
111	Produção cimento	Ceará	5	Pecém	2021	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	620083,6667	t clínquer
112	Produção cimento	Ceará	5	Sobral	2021	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	620083,6667	t clínquer
113	Produção cimento	Ceará	5	Pecém	2022	APODI, Pecém  - CE	-3,666527	-39	329655,4889	t clínquer
114	Produção cimento	Ceará	5	Quixeré	2022	APODI ,Quixeré - CE	-5,042383	-38	329655,4889	t clínquer
115	Produção cimento	Ceará	5	Barbalha	2022	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	329655,4889	t clínquer
116	Produção cimento	Ceará	5	Pecém	2022	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	329655,4889	t clínquer
117	Produção cimento	Ceará	5	Sobral	2022	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	329655,4889	t clínquer
118	Produção cimento	Distrito Federal	2	Sobradinho	2014	CIPLAN, Sobradinho - DF	-15,572222	-48	2218585	t clínquer
119	Produção cimento	Distrito Federal	2	Sobradinho	2014	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	2218585	t clínquer
120	Produção cimento	Distrito Federal	2	Sobradinho	2015	CIPLAN, Sobradinho - DF	-15,572222	-48	2034149	t clínquer
121	Produção cimento	Distrito Federal	2	Sobradinho	2015	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	2034149	t clínquer
122	Produção cimento	Distrito Federal	2	Sobradinho	2016	CIPLAN, Sobradinho - DF	-15,572222	-48	1470814	t clínquer
123	Produção cimento	Distrito Federal	2	Sobradinho	2016	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	1470814	t clínquer
124	Produção cimento	Distrito Federal	2	Sobradinho	2017	CIPLAN, Sobradinho - DF	-15,572222	-48	1310132,5	t clínquer
125	Produção cimento	Distrito Federal	2	Sobradinho	2017	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	1310132,5	t clínquer
126	Produção cimento	Distrito Federal	2	Sobradinho	2018	CIPLAN, Sobradinho - DF	-15,572222	-48	1263874	t clínquer
127	Produção cimento	Distrito Federal	2	Sobradinho	2018	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	1263874	t clínquer
128	Produção cimento	Distrito Federal	2	Sobradinho	2019	CIPLAN, Sobradinho - DF	-15,572222	-48	1225377	t clínquer
129	Produção cimento	Distrito Federal	2	Sobradinho	2019	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	1225377	t clínquer
130	Produção cimento	Distrito Federal	2	Sobradinho	2020	CIPLAN, Sobradinho - DF	-15,572222	-48	1429955,5	t clínquer
131	Produção cimento	Distrito Federal	2	Sobradinho	2020	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	1429955,5	t clínquer
132	Produção cimento	Distrito Federal	2	Sobradinho	2021	CIPLAN, Sobradinho - DF	-15,572222	-48	1540270	t clínquer
133	Produção cimento	Distrito Federal	2	Sobradinho	2021	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	1540270	t clínquer
134	Produção cimento	Distrito Federal	2	Sobradinho	2022	CIPLAN, Sobradinho - DF	-15,572222	-48	865677,5	t clínquer
135	Produção cimento	Distrito Federal	2	Sobradinho	2022	VOTORANTIM CIMENTOS, Sobradinho - DF	-15,586358	-48	865677,5	t clínquer
136	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2014	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	1061470	t clínquer
137	Produção cimento	Espírito Santo	3	Serra	2014	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	1061470	t clínquer
138	Produção cimento	Espírito Santo	3	Vitória	2014	MIZU, Vitória - ES	-20,261634	-40	1061470	t clínquer
139	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2015	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	1036713,667	t clínquer
140	Produção cimento	Espírito Santo	3	Serra	2015	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	1036713,667	t clínquer
141	Produção cimento	Espírito Santo	3	Vitória	2015	MIZU, Vitória - ES	-20,261634	-40	1036713,667	t clínquer
142	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2016	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	994034	t clínquer
143	Produção cimento	Espírito Santo	3	Serra	2016	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	994034	t clínquer
144	Produção cimento	Espírito Santo	3	Vitória	2016	MIZU, Vitória - ES	-20,261634	-40	994034	t clínquer
145	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2017	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	930389,6667	t clínquer
146	Produção cimento	Espírito Santo	3	Serra	2017	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	930389,6667	t clínquer
